"ID";"Nit_IPS";"Nit_EPS";"Proceso";"DescripcionProceso";"Estado";"Cuenta";"Banco";"FechaPagoFactura";"NumeroPago";"TipoOperacion";"NumeroFactura";"ValorBrutoPagar";"ValorDescuento";"ValorIva";"ValorRetefuente";"ValorReteiva";"ValorReteica";"ValorOtrasRetenciones";"ValorCruces";"ValorAnticipos";"ValorTotal";"ValorTranferido";"Regional";"llaveCompuesta";"idUser";"Soporte";"FechaRegistro";"FechaActualizacion";"Sync"
"2520";"813001952";"900833180";"3232";"PAGO 50% DE EVENTO ABRIL CAQUETA";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-05-13";"470";"2117";"12";"510031057";"0";"0";"0";"0";"0";"0";"0";"0";"510031057";"510031057";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2521";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2383";"2453570";"0";"0";"0";"0";"0";"0";"0";"0";"2453570";"2453570";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2522";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2463";"2271697";"0";"0";"0";"0";"0";"0";"0";"0";"2271697";"2271697";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2523";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2464";"2806320";"0";"0";"0";"0";"0";"0";"0";"0";"2806320";"2806320";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2524";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2470";"4136427";"0";"0";"0";"0";"0";"0";"0";"0";"4136427";"4136427";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2525";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2472";"95236970";"0";"0";"0";"0";"0";"0";"0";"0";"95236970";"95236970";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2526";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2474";"2395031";"0";"0";"0";"0";"0";"0";"0";"0";"2395031";"2395031";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2527";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2475";"1438627";"0";"0";"0";"0";"0";"0";"0";"0";"1438627";"1438627";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2528";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2491";"3646174";"0";"0";"0";"0";"0";"0";"0";"0";"3646174";"3646174";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2529";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2492";"1092101";"0";"0";"0";"0";"0";"0";"0";"0";"1092101";"1092101";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2530";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2497";"3400";"0";"0";"0";"0";"0";"0";"0";"0";"3400";"3400";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2531";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2500";"562201";"0";"0";"0";"0";"0";"0";"0";"0";"562201";"562201";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2532";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2503";"30696727";"0";"0";"0";"0";"0";"0";"0";"0";"30696727";"30696727";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2533";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2504";"2355962";"0";"0";"0";"0";"0";"0";"0";"0";"2355962";"2355962";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2534";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2505";"2259880";"0";"0";"0";"0";"0";"0";"0";"0";"2259880";"2259880";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2535";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"2506";"240840";"0";"0";"0";"0";"0";"0";"0";"0";"240840";"240840";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2536";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"22052";"4129904";"0";"0";"0";"0";"0";"0";"0";"0";"4129904";"4129904";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2537";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"22231";"266134";"0";"0";"0";"0";"0";"0";"0";"0";"266134";"266134";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2538";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"22232";"1329269";"0";"0";"0";"0";"0";"0";"0";"0";"1329269";"1329269";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2539";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"22255";"3948660";"0";"0";"0";"0";"0";"0";"0";"0";"3948660";"3948660";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2540";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"22505";"72885";"0";"0";"0";"0";"0";"0";"0";"0";"72885";"72885";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2541";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"22705";"8881446";"0";"0";"0";"0";"0";"0";"0";"0";"8881446";"8881446";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2542";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"22708";"439774";"0";"0";"0";"0";"0";"0";"0";"0";"439774";"439774";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2543";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"22710";"2197048";"0";"0";"0";"0";"0";"0";"0";"0";"2197048";"2197048";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
"2544";"813001952";"900833180";"3297";"ABONO CAQUETA PAGO SEDE NAL";"CONFIRMADO";"76000308635";"DAVIVIENDA";"2011-03-09";"498";"2502";"22720";"113294383";"0";"0";"0";"0";"0";"0";"0";"0";"113294383";"113294383";"CAQUETA";"pago_eps_900833180_813001952_20190526";"3";"../../../soportes/813001952/pago_eps_900833180_813001952_20190526.xls";"2019-05-26 03:36:07";"2019-05-26 03:36:07";"0000-00-00 00:00:00"
